Date,ProdMaterialCode,MaterialCode,MaterialName,Unit,Workshop,Shift,Issue,Remain
6/30/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,764400,972920
7/1/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,0,847920
7/2/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,725400,1464800
7/3/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,1363060
7/4/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,1234560
7/5/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,1107600
7/6/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,517800,1482970
7/7/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,0,1359820
7/8/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,466800,1703360
7/9/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,0,1561480
7/10/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,0,1503520
7/11/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,0,1361200
7/12/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,0,1231200
7/13/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,0,1077600
7/14/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,A,0,909200
7/15/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,744600
7/16/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,498000,1089880
7/17/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,909370
7/18/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,C,0,756480
7/19/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,0,611400
7/20/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,0,458390
7/21/2026,TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS,B,386400,693600
6/30/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,4000,6640
7/1/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,0,5740
7/2/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,4000,9130
7/3/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,8730
7/4/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,8230
7/5/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,7700
7/6/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,4000,11300
7/7/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,B,0,10700
7/8/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,B,0,10100
7/9/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,B,0,9400
7/10/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,B,4000,12860
7/11/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,0,12120
7/12/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,0,11380
7/13/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,0,10680
7/14/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,A,0,10000
7/15/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,9500
7/16/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,4000,12900
7/17/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,12200
7/18/2026,TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS,C,0,11600
