OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 6:21 AM,1205000004,Pulse FPS-A3 L/F   wait for cutting,0,0,pc,A,FPSA,0
6/30/26 6:21 AM,2405000028,Pulse FPS-A3 L/F   wait for welding,0,270,pc,A,FPSA,0
6/30/26 6:21 AM,1205001017,Pulse FPS-A3 Air Tag L/F   wait for cutting,0,7081,pc,A,FPSA,0
6/30/26 6:21 AM,2405001032,Pulse FPS-A3 Air Tag L/F   wait for welding,0,238,pc,A,FPSA,0
6/30/26 6:21 AM,1205001015,Pulse FPS-A2 L/F  wait for cutting,0,31140,pc,A,FPSA,3120
6/30/26 6:21 AM,2405001027,Pulse FPS-A2 L/F  wait for welding,3115,5969,pc,A,FPSA,2115
6/30/26 6:21 AM,1205001016,Pulse FPS-A08 L/F  wait for cutting,39305,47417,pc,A,FPSA,3464
6/30/26 6:21 AM,2405001028,Pulse FPS-A08 L/F  wait for welding,3393,12113,pc,A,FPSA,4905
6/30/26 6:21 AM,1201400006,INSULATING RESIN ( DBN519S),0,169.04,"g
",A,FPSA,11.1
6/30/26 6:21 AM,1401400011,ETHYL ALCOHOL 95%,0,9.72,"kg
",A,FPSA,3.86
6/30/26 6:21 AM,1401400017,NEEDLE MN-27G (I) For  Welding,0,114,pc,A,FPSA,52
6/30/26 6:21 AM,1401400022,POLYIMIDE TAPE ST-533L8 (A3),0,81,pc,A,FPSA,0
6/30/26 6:21 AM,1401400022,"POLYIMIDE TAPE Crystal guest (A08,A2 Air tag)",0,164,pc,A,FPSA,51
6/30/26 6:21 AM,1201500046,COMPOUND CV-4160TN(13X3.5G),30,102.5,kg,A,FPSA,23.2
6/30/26 6:21 AM,1201500022,COMPOUND CV-9700 AH(13X4.0G),0,9.64,"kg
",A,FPSA,0.11
6/30/26 6:21 AM,1201500033,COMPOUND NIKALET ECR,0,9.64,kg,A,FPSA,0.14
6/30/26 6:21 AM,1201521001,UV Marking  Ink (white),0,922,g,A,FPSA,18
6/30/26 6:21 AM,1201520006,ABRASIVE MM-P80,0,0,"kg
",A,FPSA,0
6/30/26 6:21 AM,1401990099,DIEMOND WHEEL TYPE  (NEW),0,32,pc,A,FPSA,18
6/30/26 6:21 AM,Diamond  Sheet (50-55mm),Diamond  Sheet (50-55mm),0,250,pc,A,FPSA,1
6/30/26 6:21 AM,1201703006,COVER TAPE  SPTA-55-480,0,17685,"meter
",A,FPSA,1709
6/30/26 6:21 AM,1201702034,C-TAPE TP-A08-PS(H)  (A08),0,9818,"meter
",A,FPSA,1677
6/30/26 6:21 AM,1201702032,C-TAPE TP-NR-V2-PS(H) (A3),3000,8419,"meter
",A,FPSA,0
6/30/26 6:21 AM,1201702033,C-TAPE TP-NU-PS (H) (A2),0,3145,"meter
",A,FPSA,40
7/1/26 6:34 AM,1205000004,Pulse FPS-A3 L/F   wait for cutting,0,0,pc,A,FPSA,0
7/1/26 6:34 AM,2405000028,Pulse FPS-A3 L/F   wait for welding,0,270,pc,A,FPSA,0
7/1/26 6:34 AM,2405001032,Pulse FPS-A3 Air Tag L/F   wait for welding,0,238,pc,A,FPSA,0
7/1/26 6:34 AM,1205001015,Pulse FPS-A2 L/F  wait for cutting,0,29640,pc,A,FPSA,1500
7/1/26 6:34 AM,2405001027,Pulse FPS-A2 L/F  wait for welding,1480,5801,pc,A,FPSA,1648
7/1/26 6:34 AM,1205001016,Pulse FPS-A08 L/F  wait for cutting,0,41471,pc,A,FPSA,5946
7/1/26 6:34 AM,2405001028,Pulse FPS-A08 L/F  wait for welding,5914,12329,pc,A,FPSA,5698
7/1/26 6:34 AM,1201400006,INSULATING RESIN ( DBN519S),100,257.13,"g
",A,FPSA,11.91
7/1/26 6:34 AM,1401400011,ETHYL ALCOHOL 95%,0,8,"kg
",A,FPSA,1.72
7/1/26 6:34 AM,1401400017,NEEDLE MN-27G (I) For  Welding,120,204,pc,A,FPSA,30
7/1/26 6:34 AM,1401400022,POLYIMIDE TAPE ST-533L8 (A3),0,81,pc,A,FPSA,0
7/1/26 6:34 AM,1401400022,"POLYIMIDE TAPE Crystal guest (A08,A2 Air tag)",250,360,pc,A,FPSA,54
7/1/26 6:34 AM,1201500046,COMPOUND CV-4160TN(13X3.5G),30,108.7,kg,A,FPSA,23.8
7/1/26 6:34 AM,1201500022,COMPOUND CV-9700 AH(13X4.0G),0,9.41,"kg
",A,FPSA,0.23
7/1/26 6:34 AM,1201500033,COMPOUND NIKALET ECR,0,9.29,kg,A,FPSA,0.35
