OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 5:38 AM,1205000007,Pulse FPS- B3 L/F wait for cutting 0.70 mm.,11200,17440,pc,A,FPSB,5030
6/30/26 5:38 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,4971,3726,pc,A,FPSB,3821
6/30/26 5:38 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,30572,pc,A,FPSB,0
6/30/26 5:38 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,0,1176,pc,A,FPSB,389
6/30/26 5:38 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,A,FPSB,0
6/30/26 5:38 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,A,FPSB,0
6/30/26 5:38 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,A,FPSB,0
6/30/26 5:38 AM,2405001031,Pulse FPS- B10 L/F (PD) wait for welding ,0,0,pc,A,FPSB,0
6/30/26 5:38 AM,1401990099,DIEMOND WHEEL TYPE  (NEW),0,0,pc,A,FPSB,0
6/30/26 5:38 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),0,26,pc,A,FPSB,0
6/30/26 5:38 AM,1401990103,DIEMOND WHEEL TYPE REGUIDE  (N2),0,0,pc,A,FPSB,0
6/30/26 5:38 AM,1201500045,COMPOUND CV-4160GC6(13X3.5G),45,74.5,"kg
",A,FPSB,15.5
6/30/26 5:38 AM,1201500042,MOLDING LINER NE83G,100,226,"pc
",A,FPSB,74
6/30/26 5:38 AM,1201702018,C-TAPE TP-NW-PS(H),0,4526,"meter
",A,FPSB,1964
6/30/26 5:38 AM,1405100013,Somix AP7   (1405100013),0,14690,"g
",A,FPSB,1260
6/30/26 5:38 AM,Spay Daifee GA-7500 (Molding),Spay Daifee GA-7500 (Molding),0,19,can,A,FPSB,0
6/30/26 5:38 AM,1201520006,ABRASIVE MM-P80,0,0,"kg
",A,FPSB,0
6/30/26 5:38 AM,1205001021,Pulse FPS- B2 L/F wait for cutting,0,0,"pc
",A,FPSB,0
6/30/26 5:38 AM,2405001034,Pulse FPS- B2 L/F wait for welding,0,0,"pc
",A,FPSB,0
6/30/26 5:38 AM,1201500049,COMPOUND CV-4160GC6(13X5.0G),0,13.16,"kg
",A,FPSB,0
7/1/26 4:51 AM,1205000007,Pulse FPS- B3 L/F wait for cutting 0.70 mm.,13700,24900,pc,A,FPSB,6240
7/1/26 4:51 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,6175,4096,pc,A,FPSB,5805
7/1/26 4:51 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,30032,pc,A,FPSB,540
7/1/26 4:51 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,540,1716,pc,A,FPSB,0
7/1/26 4:51 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,A,FPSB,0
7/1/26 4:51 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,A,FPSB,0
7/1/26 4:51 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,A,FPSB,0
7/1/26 4:51 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),0,26,pc,A,FPSB,0
7/1/26 4:51 AM,1201500045,COMPOUND CV-4160GC6(13X3.5G),45,99.7,"kg
",A,FPSB,19.8
7/1/26 4:51 AM,1201500042,MOLDING LINER NE83G,100,292,"pc
",A,FPSB,34
7/1/26 4:51 AM,1201702018,C-TAPE TP-NW-PS(H),4000,6976,"meter
",A,FPSB,1550
7/1/26 4:51 AM,1405100013,Somix AP7   (1405100013),0,13720,"g
",A,FPSB,970
7/1/26 4:51 AM,Spay Daifee GA-7500 (Molding),Spay Daifee GA-7500 (Molding),0,18,can,A,FPSB,1
7/1/26 4:51 AM,1201520006,ABRASIVE MM-P80,20,0,"kg
",A,FPSB,20
7/1/26 4:51 AM,1201500049,COMPOUND CV-4160GC6(13X5.0G),0,13.16,"kg
",A,FPSB,0
7/2/26 5:23 AM,1205000007,Pulse FPS- B3 L/F wait for cutting 0.70 mm.,0,19060,pc,A,FPSB,5840
7/2/26 5:23 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,5790,5667,pc,A,FPSB,4219
7/2/26 5:23 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,28300,pc,A,FPSB,1732
7/2/26 5:23 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,1691,2336,pc,A,FPSB,1071
7/2/26 5:23 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,A,FPSB,0
7/2/26 5:23 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,A,FPSB,0
7/2/26 5:23 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,A,FPSB,0
7/2/26 5:23 AM,2405001031,Pulse FPS- B10 L/F (PD) wait for welding ,0,0,pc,A,FPSB,0
7/2/26 5:23 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),0,22,pc,A,FPSB,4
7/2/26 5:23 AM,1201500045,COMPOUND CV-4160GC6(13X3.5G),45,127.7,"kg
",A,FPSB,17
7/2/26 5:23 AM,1201500042,MOLDING LINER NE83G,100,326,"pc
",A,FPSB,66
7/2/26 5:23 AM,1201702018,C-TAPE TP-NW-PS(H),0,5475,"meter
",A,FPSB,1501
7/2/26 5:23 AM,1405100013,Somix AP7   (1405100013),0,12200,"g
",A,FPSB,1520
7/2/26 5:23 AM,Spay Daifee GA-7500 (Molding),Spay Daifee GA-7500 (Molding),0,18,can,A,FPSB,0
7/2/26 5:23 AM,1201520006,ABRASIVE MM-P80,0,0,"kg
",A,FPSB,0
7/2/26 5:23 AM,1201500049,COMPOUND CV-4160GC6(13X5.0G),0,13.16,"kg
",A,FPSB,0
7/3/26 5:54 AM,1205000007,Pulse FPS- B3 L/F wait for cutting 0.70 mm.,11180,25530,pc,C,FPSB,4710
7/3/26 5:54 AM,2405001026,Pulse FPS- B3 L/F wait for welding 0.70 mm.,4680,5490,pc,C,FPSB,4857
7/3/26 5:54 AM,1205001020,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for cutting ,0,26563,pc,C,FPSB,1737
7/3/26 5:54 AM,2405001033,Pulse FPS- B3 L/F (PD)C194/Pd/070/FB wait for welding ,2250,2121,pc,C,FPSB,2465
7/3/26 5:54 AM,1205001018,Pulse FPS- B10 L/F wait for cutting 0.59 mm.,0,17450,pc,C,FPSB,0
7/3/26 5:54 AM,2405001030,Pulse FPS- B10 L/F wait for welding 0.59 mm.,0,360,pc,C,FPSB,0
7/3/26 5:55 AM,1205001019,Pulse FPS- B10 L/F (PD) wait for cutting ,0,3860,pc,C,FPSB,0
7/3/26 5:55 AM,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),10,26,pc,C,FPSB,6
7/3/26 5:55 AM,1201500045,COMPOUND CV-4160GC6(13X3.5G),45,157.6,"kg
",C,FPSB,15.1
7/3/26 5:55 AM,1201500042,MOLDING LINER NE83G,200,456,"pc
",C,FPSB,70
7/3/26 5:55 AM,1201702018,C-TAPE TP-NW-PS(H),6000,9200,"meter
",C,FPSB,2275
7/3/26 5:55 AM,1405100013,Somix AP7   (1405100013),0,11680,"g
",C,FPSB,520
