OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 4:20 AM,1201400008,Eco Solder Paste,1350,7229,g,A,GPS,65
6/30/26 4:20 AM,1206001001,GSV Substrat Type-4 HITACHI ( PCB ),92,59,pc,A,GPS,33
6/30/26 4:20 AM,1206001003,G/PS SUBSTRATE DOOSAN ( PCB ),0,2350,pc,A,GPS,158
6/30/26 4:20 AM,1205000006, L/F  Welding  ( SKID ),764400,972920,pc,A,GPS,152400
6/30/26 4:20 AM,1201400009,OHM COAT ,0,0,g,A,GPS,0
6/30/26 4:20 AM,1201400010,Ion trap- IXE-700F,0,0,g,A,GPS,0
6/30/26 4:20 AM,1401990096,JK Wiper 150S,0,6,pc,A,GPS,1
6/30/26 4:20 AM,1401990095,NON-WOVEN  ROLL TS507,0,12,pc,A,GPS,0
6/30/26 4:20 AM,1201500037,FLUID EXPOXY RESIN CV5788FS,0,16250,"g
",A,GPS,1500
6/30/26 4:20 AM,1201220009,ETHANOL ABSOLUTE,0,12.5,"liter
",A,GPS,0
6/30/26 4:20 AM,1401600008,AFLEX 75N 126NT    ( Mirror ),0,9,meter,A,GPS,0
6/30/26 4:20 AM,1201560003,Zn-Film ( 9ZL67-225 ),0,16.2,"kg
",A,GPS,0
6/30/26 4:20 AM,1401621001,UV TAPE UHP-1525M3E-29C-03,0,660,pc,A,GPS,0
6/30/26 4:20 AM,1401990101,Dicing Blade 220JS(75mm),0,10,pc,A,GPS,2
6/30/26 4:20 AM,1401902033,INNER BOX NAG 9/13,0,0,pc,A,GPS,0
6/30/26 4:20 AM,1401902034,INNER BOX NAG 13/17,0,0,pc,A,GPS,0
6/30/26 4:20 AM,1201703004,COVER TAPE A-5.3,0,1800,meter,A,GPS,600
6/30/26 4:20 AM,1201702030,2705 GPSP2 8MM X 2000M,4000,6640,g,A,GPS,920
6/30/26 4:20 AM,Resin Tube  ( small ),Resin Tube  ( small ),0,36,"pc
",A,GPS,0
6/30/26 4:20 AM,GLASS WOOL 225Tx250x370,GLASS WOOL 225Tx250x370,0,206,pc,A,GPS,0
