ProdMaterialCode,MaterialCode,MaterialName,Unit,Workshop
TA0001,1205000006,L/F  WELDING  ( SKID ),PC,GPS
TA0002,1201702030,2705 GPSP2 8MM X 2000M,G,GPS
TA0003,1201520009,ABRASIVE MM-P220,KG,PSLA
TA0004,1201520009,ABRASIVE MM-P220,KG,PSLB
TA0005,1201520006,ABRASIVE MM-P80,KG,FPSA
TA0006,1201520006,ABRASIVE MM-P80,KG,FPSB
TA0007,1201220006,ACETIC ACID GLACIAL,LITER,ANODIZE
TA0008,120810001,ACRYBASE - IB30(D),LITER,PRESSING
TA0009,1405100001,ACTREL 1178 F,LITER,STAMPING
TA0010,1401600008,AFLEX 75N 126NT    ( MIRROR ),METER,GPS
TA0011,1207100002,ALUMINUM SPOOL  ( ST ),KG,STAMPING
TA0012,1201221015,AMMONIUM ADIPATE (AA),KG,POLYMER
TA0013,1000000010,BUFFER SOLUTION KCI3,ML,POLYMER
TA0014,1000000011,BUFFER SOLUTION PH 2.00,ML,POLYMER
TA0015,1000000007,BUFFER SOLUTION PH 4.01,ML,POLYMER
TA0016,1201300004,BUTYL ACETATE,LITER,POLYMER
TA0017,1201301005,BUTYL CARBITOL,LITER,POLYMER
TA0018,1201400001,BUTYL GLYCIDIL ETHER,G,PSLB
TA0019,1401990064,CARBON FACE MASK 4PLY,PC,PSLB
TA0020,1201221021,CHEMICAL CW,KG,POLYMER
TA0021,1201301006,CHEMICAL GRP.T-30PLB-UL(BL),LITER,POLYMER
TA0022,1201301004,CHEMICAL GRP.TC-8265,KG,POLYMER
TA0023,1201221001,CHEMICAL NR,KG,POLYMER
TA0024,1201221009,CHEMICAL RH,KG,POLYMER
TA0025,1201221004,CHEMICAL TR,KG,POLYMER
TA0026,1000000002,CINDOL 4612T,LITER,STAMPING
TA0027,1201221028,CKV5-D,KG,POLYMER
TA0028,1201221019,CLEVIOS  KV2-HV,KG,POLYMER
TA0029,1201221018,CLEVIOS K  NANO IL,KG,POLYMER
TA0030,1201221023,CLEVIOS K NANO IL-62  ,KG,POLYMER
TA0031,1201221020,CLEVIOS K PRIMER W8,KG,POLYMER
TA0032,1201221031,CLEVIOS K PRIMER XT,KG,POLYMER
TA0033,1201221030,CLEVIOS KPLUS2,KG,POLYMER
TA0034,1201221002,CLEVIOS MV2,LITER,POLYMER
TA0035,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),KG,PSLA
TA0036,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),KG,PSLB
TA0037,1201500045,COMPOUND CV-4160GC6(13X3.5G),KG,FPSB
TA0038,1201500045,COMPOUND CV-4160GC6(13X3.5G),KG,PSLB
TA0039,1201500049,COMPOUND CV-4160GC6(13X5.0G),KG,FPSB
TA0040,1201500046,COMPOUND CV-4160TN(13X3.5G),KG,FPSA
TA0041,1201500046,COMPOUND CV-4160TN(13X3.5G),KG,PSLA
TA0042,1201500022,COMPOUND CV-9700 AH(13X4.0G),KG,FPSA
TA0043,1201500036,COMPOUND CV9800,KG,PSLA
TA0044,1201500036,COMPOUND CV9800,KG,PSLB
TA0045,1201500002,COMPOUND EMEC-6,KG,PSLA
TA0046,1201500002,COMPOUND EMEC-6,KG,PSLB
TA0047,1201500033,COMPOUND NIKALET ECR,KG,FPSA
TA0048,1401990006,COTTON  CLOTHES (35CM.X45CM.),PC,POLYMER
TA0049,1401990011,COTTON  CLOTHES(13CM.X22CM.),PC,PSLA
TA0050,1401990011,COTTON  CLOTHES(13CM.X22CM.),PC,PSLB
TA0051,1201703006,COVER TAPE  SPTA-55-480,METER,FPSA
TA0052,1201703006,COVER TAPE  SPTA-55-480,METER,PSLA
TA0053,1201703006,COVER TAPE  SPTA-55-480,METER,PSLB
TA0054,1201703004,COVER TAPE A-5.3,METER,GPS
TA0055,1201702034,C-TAPE TP-A08-PS(H)  (A08),METER,FPSA
TA0056,1201702001,C-TAPE TP-A-PS(H)  ,METER,PSLA
TA0057,1201704004,C-TAPE TP-B15-PS(H),METER,PSLB
TA0058,1201702032,C-TAPE TP-NR-V2-PS(H) (A3),METER,FPSA
TA0059,1201702033,C-TAPE TP-NU-PS (H) (A2),METER,FPSA
TA0060,1201702018,C-TAPE TP-NW-PS(H),METER,FPSB
TA0061,1201702018,C-TAPE TP-NW-PS(H),METER,PSLB
TA0062,1201702035,C-TAPE TP-S-PC(H)( PRODUCT  KT),METER,PSLB
TA0063,1201702005,C-TAPE TP-S-PS (H) B2,METER,PSLB
TA0064,1201500039,DAIFREE MS-175,KG,FPSA
TA0065,1201500039,DAIFREE MS-175,KG,PSLB
TA0066,1201300008,DAWANOL  PMA,KG,POLYMER
TA0067,Diamond  Sheet (50-55mm),DIAMOND  SHEET (50-55MM),PC,FPSA
TA0068,1401990101,DICING BLADE 220JS(75MM),PC,GPS
TA0069,1401990099,DIEMOND WHEEL TYPE  (NEW),PC,FPSA
TA0070,1401990099,DIEMOND WHEEL TYPE  (NEW),PC,FPSB
TA0071,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),PC,FPSA
TA0072,1401990102,DIEMOND WHEEL TYPE REGUIDE  (N1),PC,FPSB
TA0073,1401990103,DIEMOND WHEEL TYPE REGUIDE  (N2),PC,FPSA
TA0074,1401990103,DIEMOND WHEEL TYPE REGUIDE  (N2),PC,FPSB
TA0075,1201400008,ECO SOLDER PASTE,G,GPS
TA0076,1201221029,ECON-CL01,KG,POLYMER
TA0077,1201220009,ETHANOL ABSOLUTE,LITER,GPS
TA0078,1201220009,ETHANOL ABSOLUTE,LITER,POLYMER
TA0079,1401400011,ETHYL ALCOHOL 95%,KG,FPSA
TA0080,1401400011,ETHYL ALCOHOL 95%,KG,POLYMER
TA0081,1401400011,ETHYL ALCOHOL 95%,KG,PSLB
TA0082,1201221024,ETHYLENE GLYCOL,LITER,POLYMER
TA0083,1401990007,FINGER STALL ( M ),PC,PSLB
TA0084,1401990005,FINGER STALL ( S ),PC,PSLB
TA0085,1201500037,FLUID EXPOXY RESIN CV5788FS,G,GPS
TA0086,1206001002,G/PS SUBSTRATE  TYPE-6 ( PCB ),PC,GPS
TA0087,1206001003,G/PS SUBSTRATE DOOSAN ( PCB ),PC,GPS
TA0088,GLASS WOOL 225Tx250x370,GLASS WOOL 225TX250X370,PC,GPS
TA0089,1401560005,GLASS WOOL(KARAKURI),PC,PSLA
TA0090,1401560005,GLASS WOOL(KARAKURI),PC,PSLB
TA0091,1206001001,GSV SUBSTRAT TYPE-4 HITACHI ( PCB ),PC,GPS
TA0092,1401220013,HYDROGEN,G,ANODIZE
