OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 6:16 AM,1401400009,NEEDLE MN-25G-13 (I)????? (A type)+GPS,0,146,pc,A,PSLA,12
6/30/26 6:16 AM,1201500046,COMPOUND CV-4160TN(13X3.5G) PSLA,0,107,kg,A,PSLA,17.5
6/30/26 6:16 AM,1201500002,COMPOUND EMEC-6,0,1.33,kg,A,PSLA,0.41
6/30/26 6:16 AM,1201500008,RUBCLEAN,0,8.1,kg,A,PSLA,0.35
6/30/26 6:16 AM,1201520009,ABRASIVE MM-P220,0,20,kg,A,PSLA,20
6/30/26 6:16 AM,1401990011,COTTON  CLOTHES(13CM.X22CM.),0,90,pc,A,PSLA,20
6/30/26 6:16 AM,1201500036,COMPOUND CV9800,0,8.2,kg,A,PSLA,0.04
6/30/26 6:16 AM,1401560005,GLASS WOOL(KARAKURI),0,79,pc,A,PSLA,0
6/30/26 6:16 AM,1201701006,PLA-REEL EIAJRRM08B-I,0,1772,pc,A,PSLA,137
6/30/26 6:16 AM,1401902031,INNER BOX NAG 5/7,0,167,pc,A,PSLA,20
6/30/26 6:16 AM,1401902032,INNER BOX NAG 8/10,0,101,pc,A,PSLA,3
6/30/26 6:16 AM,1201703006,COVER TAPE  SPTA-55-480,0,20805,"meter
",A,PSLA,1280
6/30/26 6:16 AM,1201702001,C-TAPE TP-A-PS(H)  ,0,9048,"meter
",A,PSLA,1351
6/30/26 6:16 AM,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),0,2.11,"kg
",A,PSLA,0.04
7/1/26 6:12 AM,1401400009,NEEDLE MN-25G-13 (I)????? (A type)+GPS,0,137,pc,C,PSLA,9
7/1/26 6:12 AM,1201500046,COMPOUND CV-4160TN(13X3.5G) PSLA,30,120,kg,C,PSLA,17
7/1/26 6:12 AM,1201500002,COMPOUND EMEC-6,15,16.2,kg,C,PSLA,0.13
7/1/26 6:12 AM,1201500008,RUBCLEAN,0,7.4,kg,C,PSLA,0.7
7/1/26 6:12 AM,1201520009,ABRASIVE MM-P220,20,40,kg,C,PSLA,0
7/1/26 6:12 AM,1401990011,COTTON  CLOTHES(13CM.X22CM.),0,70,pc,C,PSLA,20
7/1/26 6:12 AM,1201500036,COMPOUND CV9800,0,8.12,kg,C,PSLA,0.08
7/1/26 6:12 AM,1401560005,GLASS WOOL(KARAKURI),0,79,pc,C,PSLA,0
7/1/26 6:12 AM,1201701006,PLA-REEL EIAJRRM08B-I,600,2206,pc,C,PSLA,166
7/1/26 6:12 AM,1401902031,INNER BOX NAG 5/7,50,199,pc,C,PSLA,18
7/1/26 6:12 AM,1401902032,INNER BOX NAG 8/10,50,147,pc,C,PSLA,4
7/1/26 6:12 AM,1201703006,COVER TAPE  SPTA-55-480,0,19143,"meter
",C,PSLA,1662
7/1/26 6:12 AM,1201702001,C-TAPE TP-A-PS(H)  ,3936,11326,"meter
",C,PSLA,1658
7/1/26 6:12 AM,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),0,1.88,"kg
",C,PSLA,0.23
7/2/26 6:33 AM,1401400009,NEEDLE MN-25G-13 (I)????? (A type)+GPS,0,127,pc,A,PSLA,10
7/2/26 6:33 AM,1201500046,COMPOUND CV-4160TN(13X3.5G) PSLA,0,113,kg,A,PSLA,7
7/2/26 6:33 AM,1201500002,COMPOUND EMEC-6,0,16.2,kg,A,PSLA,0
7/2/26 6:33 AM,1201500008,RUBCLEAN,0,7.4,kg,A,PSLA,0
7/2/26 6:33 AM,1201520009,ABRASIVE MM-P220,0,40,kg,A,PSLA,0
7/2/26 6:33 AM,1401990011,COTTON  CLOTHES(13CM.X22CM.),0,60,pc,A,PSLA,10
7/2/26 6:33 AM,1201500036,COMPOUND CV9800,0,8.12,kg,A,PSLA,0
7/2/26 6:33 AM,1401560005,GLASS WOOL(KARAKURI),0,72,pc,A,PSLA,7
7/2/26 6:33 AM,1201701006,PLA-REEL EIAJRRM08B-I,0,2037,pc,A,PSLA,169
7/2/26 6:33 AM,1401902031,INNER BOX NAG 5/7,0,178,pc,A,PSLA,21
7/2/26 6:33 AM,1401902032,INNER BOX NAG 8/10,0,145,pc,A,PSLA,2
7/2/26 6:33 AM,1201703006,COVER TAPE  SPTA-55-480,0,17423,"meter
",A,PSLA,1720
7/2/26 6:33 AM,1201702001,C-TAPE TP-A-PS(H)  ,0,9607,"meter
",A,PSLA,1719
7/2/26 6:33 AM,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),0,1.88,"kg
",A,PSLA,0
7/3/26 6:12 AM,1401400009,NEEDLE MN-25G-13 (I)????? (A type)+GPS,0,120,pc,C,PSLA,7
7/3/26 6:12 AM,1201500046,COMPOUND CV-4160TN(13X3.5G) PSLA,30,126,kg,C,PSLA,17
7/3/26 6:12 AM,1201500002,COMPOUND EMEC-6,0,16.06,kg,C,PSLA,0.14
7/3/26 6:12 AM,1201500008,RUBCLEAN,0,7.03,kg,C,PSLA,0.37
7/3/26 6:12 AM,1201520009,ABRASIVE MM-P220,0,40,kg,C,PSLA,0
7/3/26 6:12 AM,1401990011,COTTON  CLOTHES(13CM.X22CM.),0,40,pc,C,PSLA,20
7/3/26 6:12 AM,1201500036,COMPOUND CV9800,0,8.09,kg,C,PSLA,0.03
7/3/26 6:12 AM,1401560005,GLASS WOOL(KARAKURI),0,72,pc,C,PSLA,0
7/3/26 6:12 AM,1201701006,PLA-REEL EIAJRRM08B-I,0,1900,pc,C,PSLA,137
7/3/26 6:12 AM,1401902031,INNER BOX NAG 5/7,0,163,pc,C,PSLA,15
7/3/26 6:12 AM,1401902032,INNER BOX NAG 8/10,0,142,pc,C,PSLA,3
7/3/26 6:12 AM,1201703006,COVER TAPE  SPTA-55-480,0,16320,"meter
",C,PSLA,1103
7/3/26 6:12 AM,1201702001,C-TAPE TP-A-PS(H)  ,0,8281,"meter
",C,PSLA,1326
7/3/26 6:12 AM,1201500038,COMPOUND CV - 4160GC6 (13X4.1G),0,1.6,"kg
",C,PSLA,0.28
7/4/26 5:51 AM,1401400009,NEEDLE MN-25G-13 (I)????? (A type)+GPS,0,109,pc,C,PSLA,11
7/4/26 5:51 AM,1201500046,COMPOUND CV-4160TN(13X3.5G) PSLA,0,109,kg,C,PSLA,17
7/4/26 5:51 AM,1201500002,COMPOUND EMEC-6,0,16.06,kg,C,PSLA,0
7/4/26 5:51 AM,1201500008,RUBCLEAN,0,7.03,kg,C,PSLA,0
7/4/26 5:51 AM,1201520009,ABRASIVE MM-P220,0,40,kg,C,PSLA,0
7/4/26 5:51 AM,1401990011,COTTON  CLOTHES(13CM.X22CM.),0,30,pc,C,PSLA,10
