OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 5:10 AM,1201400002,SILCOAT RN - 10AO,0,6.57,kg,A,PSLB,1.44
6/30/26 5:10 AM,1201400003,SILCOAT RN - 10BO,0,2.19,kg,A,PSLB,0.48
6/30/26 5:10 AM,1201500041,METHYL ISOBUTYL KETONE,0,0,liter,A,PSLB,20
6/30/26 5:10 AM,1201500040,SFCOAT MK-2,14,12.5,kg,A,PSLB,17
6/30/26 5:10 AM,1201400001,BUTYL GLYCIDIL ETHER,0,579,g,A,PSLB,87
6/30/26 5:10 AM,1401400007,NEEDLE NM-22G-13*(2HD),1000,1919,pc,A,PSLB,156
6/30/26 5:10 AM,1401400024,NEEDLE MN-22G-13(I)?????????(B2),0,390,pc,A,PSLB,78
6/30/26 5:10 AM,1401400015,Syring PS 5N,0,2122,pc,A,PSLB,278
6/30/26 5:10 AM,1401990003,PIECE OF CLOTHES,0,21,"kg
",A,PSLB,6
6/30/26 5:10 AM,1401400011,ETHYL ALCOHOL 95%,0,0,kg,A,PSLB,8
6/30/26 5:10 AM,2405001024,Pulse ECU-B2-NT L/F,31350,54600,"pc
",A,PSLB,35100
6/30/26 5:10 AM,2405001023,Pulse ECU-B3-NT L/F,44100,44250,"pc
",A,PSLB,41100
6/30/26 5:10 AM,2405001022,Pulse ECU-B15-NT L/F,3600,2700,"pc
",A,PSLB,4050
6/30/26 5:35 AM,1201560005,ZN FILM 9Z-240(A&B2),0,17,"kg
",A,PSLB,3
6/30/26 5:35 AM,1401560005,GLASS WOOL(KARAKURI),0,50,pc,A,PSLB,70
6/30/26 5:35 AM,1201701006,PLA-REEL EIAJRRM08B-I,3000,2800,pc,A,PSLB,1600
6/30/26 5:35 AM,1201702018,C-TAPE TP-NW-PS(H) B3,12000,18000,"meter
",A,PSLB,10000
6/30/26 5:35 AM,1201702005,C-TAPE TP-S-PS (H) B2,13776,23616,"meter
",A,PSLB,11808
6/30/26 5:35 AM,1201702035,C-TAPE TP-S-PC(H)( PRODUCT  KT),0,12600,"meter
",A,PSLB,100
6/30/26 5:35 AM,1401901003,STICKER 7X5.3CM REMOVE,10000,20000,"pc
",A,PSLB,5000
