OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 10:26 PM,1201221009,Chemical RH,24,96,kg,A,Polymer,0
6/30/26 10:26 PM,1201221021,Chemical CW,25,50,kg,A,Polymer,0
6/30/26 10:26 PM,1201221001,Chemical NR,160,176,kg,A,Polymer,176
6/30/26 10:26 PM,1201221004,Chemical TR,64,160,kg,A,Polymer,64
6/30/26 10:26 PM,1201221002,CLEVIOS MV2,0,200,liter,A,Polymer,32
6/30/26 10:26 PM,1201220009,ETHANOL ABSOLUTE,120,190,liter,A,Polymer,150
6/30/26 10:26 PM,1201221010,PTS-100,100,80,kg,A,Polymer,80
6/30/26 10:26 PM,1401400011,ETHYL ALCOHOL 95%,90,165,liter,A,Polymer,60
6/30/26 10:26 PM,1201200005,Phosphoric  Acid (LS),0,17.5,"liter
",A,Polymer,0
6/30/26 10:26 PM,1201220010,OLFINE,0,16.9,"liter
",A,Polymer,0
6/30/26 10:26 PM,1201221018,Clevios K  NANO IL,0,30,"kg
",A,Polymer,5
6/30/26 10:26 PM,1201221023,CLEVIOS K NANO IL-62  ,0,40,"kg
",A,Polymer,6
6/30/26 10:26 PM,1201221020,Clevios K Primer W8,20,40,kg,A,Polymer,10
6/30/26 10:27 PM,1201221031,Clevios K Primer XT,0,23,kg,A,Polymer,0
6/30/26 10:27 PM,1201221019,CLEVIOS  KV2-HV,20,50,kg,A,Polymer,20
6/30/26 10:27 PM,1201221030,CLEVIOS Kplus2,0,12.03,"kg
",A,Polymer,2.58
6/30/26 10:27 PM,1201221028,CKV5-D,10,60,kg,A,Polymer,10
6/30/26 10:27 PM,1201221029,ECON-CL01,0,10,kg,A,Polymer,0
6/30/26 10:27 PM,1201221024,ETHYLENE GLYCOL,0,5,"liter
",A,Polymer,0
6/30/26 10:27 PM,1201221026,Polyglycerin # 500 (PG),0,28.82,kg,A,Polymer,0
6/30/26 10:27 PM,1201221015,Ammonium adipate (AA),0,18.09,kg,A,Polymer,0
6/30/26 10:27 PM,1201301006,Chemical Grp.T-30PLB-UL(BL),2,6,"Liter
",A,Polymer,3
6/30/26 10:27 PM,1201301004,Chemical Grp.TC-8265,0,1,"kg
",A,Polymer,1
6/30/26 10:27 PM,1201300004,Butyl acetate,0,10,"liter
",A,Polymer,2.5
6/30/26 10:27 PM,1201300008,Dawanol  PMA,0,150,"kg
",A,Polymer,10
6/30/26 10:27 PM,1201301007,Silver N-2061(SHOE),10,15,"kg
",A,Polymer,15
6/30/26 10:27 PM,1201301008,RFE-300,0,16,"kg
",A,Polymer,0
6/30/26 10:27 PM,1201301009,RFE-D,0,10,"kg
",A,Polymer,0
6/30/26 10:27 PM,1401990006,COTTON  CLOTHES (35CM.X45CM.),0,3000,"pc
",A,Polymer,2000
6/30/26 10:27 PM,1401990017,Plam Fit Gloves (S),140,450,"pc
",A,Polymer,10
6/30/26 10:27 PM,1401990016,Plam Fit Gloves (M),180,480,"pc
",A,Polymer,0
6/30/26 10:27 PM,1401990015,Plam Fit Gloves (L),40,240,"pc
",A,Polymer,0
6/30/26 10:27 PM,1401990098,Mask -3M,240,700,"pc
",A,Polymer,50
6/30/26 10:27 PM,1000000011,Buffer solution PH 2.00,0,1740,"ml
",A,Polymer,10
6/30/26 10:27 PM,1000000007,Buffer solution PH 4.01,0,2060,ml,A,Polymer,10
6/30/26 10:27 PM,1000000010,Buffer solution KCI3,0,1450,ml,A,Polymer,20
6/30/26 10:27 PM,1401990003,PIECE OF CLOTHES,0,6,kg,A,Polymer,1
6/30/26 10:31 PM,1201301005,Butyl Carbitol,0,3,"liter
",A,Polymer,0
7/1/26 11:29 PM,1201221009,Chemical RH,32,112,kg,A,Polymer,16
7/1/26 11:29 PM,1201221021,Chemical CW,25,75,kg,A,Polymer,0
7/1/26 11:29 PM,1201221001,Chemical NR,200,280,kg,A,Polymer,96
7/1/26 11:29 PM,1201221004,Chemical TR,80,168,kg,A,Polymer,72
7/1/26 11:29 PM,1201221002,CLEVIOS MV2,200,350,liter,A,Polymer,50
7/1/26 11:29 PM,1201220009,ETHANOL ABSOLUTE,240,270,liter,A,Polymer,160
7/1/26 11:29 PM,1201221010,PTS-100,140,140,kg,A,Polymer,80
7/1/26 11:29 PM,1401400011,ETHYL ALCOHOL 95%,90,150,liter,A,Polymer,105
7/1/26 11:29 PM,1201200005,Phosphoric  Acid (LS),0,17.5,"liter
",A,Polymer,0
7/1/26 11:29 PM,1201220010,OLFINE,0,16.5,"liter
",A,Polymer,0.4
7/1/26 11:29 PM,1201221018,Clevios K  NANO IL,0,30,"kg
",A,Polymer,0
7/1/26 11:29 PM,1201221023,CLEVIOS K NANO IL-62  ,10,50,"kg
",A,Polymer,0
7/1/26 11:29 PM,1201221020,Clevios K Primer W8,30,70,kg,A,Polymer,0
7/1/26 11:29 PM,1201221031,Clevios K Primer XT,0,23,kg,A,Polymer,0
7/1/26 11:29 PM,1201221019,CLEVIOS  KV2-HV,30,70,kg,A,Polymer,10
7/1/26 11:29 PM,1201221030,CLEVIOS Kplus2,8,17.92,"kg
",A,Polymer,2.11
7/1/26 11:29 PM,1201221028,CKV5-D,30,80,kg,A,Polymer,10
7/1/26 11:30 PM,1201221029,ECON-CL01,0,10,kg,A,Polymer,0
7/1/26 11:30 PM,1201221024,ETHYLENE GLYCOL,10,15,"liter
",A,Polymer,0
7/1/26 11:30 PM,1201221026,Polyglycerin # 500 (PG),0,28.82,kg,A,Polymer,0
7/1/26 11:30 PM,1201221015,Ammonium adipate (AA),0,18.09,kg,A,Polymer,0
7/1/26 11:30 PM,1201301006,Chemical Grp.T-30PLB-UL(BL),4,8,"Liter
",A,Polymer,2
7/1/26 11:30 PM,1201301004,Chemical Grp.TC-8265,0,1,"kg
",A,Polymer,0
7/1/26 11:30 PM,1201300004,Butyl acetate,0,9.5,"liter
",A,Polymer,0.5
7/1/26 11:30 PM,1201301005,Butyl Carbitol,0,3,"liter
",A,Polymer,0
7/1/26 11:30 PM,1201300008,Dawanol  PMA,0,150,"kg
",A,Polymer,0
7/1/26 11:30 PM,1201301007,Silver N-2061(SHOE),40,40,"kg
",A,Polymer,15
7/1/26 11:30 PM,1201301008,RFE-300,4,20,"kg
",A,Polymer,0
7/1/26 11:30 PM,1201301009,RFE-D,0,9,"kg
",A,Polymer,1
7/1/26 11:30 PM,1401990006,COTTON  CLOTHES (35CM.X45CM.),2000,3000,"pc
",A,Polymer,2000
7/1/26 11:30 PM,1401990017,Plam Fit Gloves (S),0,370,"pc
",A,Polymer,80
7/1/26 11:30 PM,1401990016,Plam Fit Gloves (M),0,370,"pc
",A,Polymer,110
7/1/26 11:30 PM,1401990015,Plam Fit Gloves (L),0,230,"pc
",A,Polymer,10
7/1/26 11:30 PM,1401990098,Mask -3M,120,730,"pc
",A,Polymer,90
7/1/26 11:30 PM,1000000011,Buffer solution PH 2.00,0,1730,"ml
",A,Polymer,10
7/1/26 11:30 PM,1000000007,Buffer solution PH 4.01,0,2050,ml,A,Polymer,10
7/1/26 11:30 PM,1000000010,Buffer solution KCI3,0,1430,ml,A,Polymer,20
7/1/26 11:30 PM,1401990003,PIECE OF CLOTHES,0,6,kg,A,Polymer,0
7/2/26 11:33 PM,1201221009,Chemical RH,40,152,kg,A,Polymer,0
7/2/26 11:33 PM,1201221021,Chemical CW,25,100,kg,A,Polymer,0
7/2/26 11:33 PM,1201221001,Chemical NR,200,368,kg,A,Polymer,112
7/2/26 11:33 PM,1201221004,Chemical TR,80,208,kg,A,Polymer,40
7/2/26 11:33 PM,1201221002,CLEVIOS MV2,0,305,liter,A,Polymer,45
7/2/26 11:33 PM,1201220009,ETHANOL ABSOLUTE,240,370,liter,A,Polymer,140
7/2/26 11:33 PM,1201221010,PTS-100,120,160,kg,A,Polymer,100
7/2/26 11:33 PM,1401400011,ETHYL ALCOHOL 95%,120,255,liter,A,Polymer,15
7/2/26 11:33 PM,1201200005,Phosphoric  Acid (LS),0,17.5,"liter
",A,Polymer,0
7/2/26 11:33 PM,1201220010,OLFINE,0,16.5,"liter
",A,Polymer,0
7/2/26 11:33 PM,1201221018,Clevios K  NANO IL,10,40,"kg
",A,Polymer,0
