OccurredOn,MaterialCode,MaterialName,Issue,Remain,Unit,Shift,Workshop,Usage
6/30/26 1:38 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,A,Stamping,0
6/30/26 1:38 AM,1205101007,SPOOL TYPE (25UCN)  METEK,0,3132.11,kg,A,Stamping,492.1
6/30/26 1:38 AM,1207100002,ALUMINUM SPOOL  ( ST ),0,704,kg,A,Stamping,874
6/30/26 1:38 AM,1000000004,Thinner AAA Grade,0,13,"Liter
",A,Stamping,2
6/30/26 1:38 AM,1000000003,Punching Oil (RF-520),0,38,Liter,A,Stamping,0
6/30/26 1:38 AM,1000000002,Cindol 4612T,0,137,Liter,A,Stamping,0
6/30/26 1:38 AM,1405100001,Actrel 1178 F,0,228,Liter,A,Stamping,0
7/1/26 2:10 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,A,Stamping,0
7/1/26 2:10 AM,1205101007,SPOOL TYPE (25UCN)  METEK,0,2666.11,kg,A,Stamping,466
7/1/26 2:10 AM,1207100002,ALUMINUM SPOOL  ( ST ),1056,880,kg,A,Stamping,880
7/1/26 2:10 AM,1000000004,Thinner AAA Grade,0,11,"Liter
",A,Stamping,2
7/1/26 2:10 AM,1000000003,Punching Oil (RF-520),0,28,Liter,A,Stamping,10
7/1/26 2:10 AM,1000000002,Cindol 4612T,0,135,Liter,A,Stamping,2
7/1/26 2:10 AM,1405100001,Actrel 1178 F,0,228,Liter,A,Stamping,0
7/2/26 3:12 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,A,Stamping,0
7/2/26 3:12 AM,1205101007,SPOOL TYPE (25UCN)  METEK,1277.8,3463.41,kg,A,Stamping,480.5
7/2/26 3:12 AM,1207100002,ALUMINUM SPOOL  ( ST ),1048,1244,kg,A,Stamping,684
7/2/26 3:12 AM,1000000004,Thinner AAA Grade,0,11,"Liter
",A,Stamping,0
7/2/26 3:12 AM,1000000003,Punching Oil (RF-520),0,25,Liter,A,Stamping,3
7/2/26 3:12 AM,1000000002,Cindol 4612T,0,133,Liter,A,Stamping,2
7/2/26 3:12 AM,1405100001,Actrel 1178 F,0,228,Liter,A,Stamping,0
7/3/26 4:58 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,C,Stamping,0
7/3/26 4:58 AM,1205101007,SPOOL TYPE (25UCN)  METEK,616,3568.01,kg,C,Stamping,511.4
7/3/26 4:58 AM,1207100002,ALUMINUM SPOOL  ( ST ),524,874,kg,C,Stamping,894
7/3/26 4:58 AM,1000000004,Thinner AAA Grade,0,11,"Liter
",C,Stamping,0
7/3/26 4:58 AM,1000000003,Punching Oil (RF-520),0,22,Liter,C,Stamping,3
7/3/26 4:58 AM,1000000002,Cindol 4612T,0,133,Liter,C,Stamping,0
7/3/26 4:58 AM,1405100001,Actrel 1178 F,0,228,Liter,C,Stamping,0
7/4/26 5:27 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,C,Stamping,0
7/4/26 5:27 AM,1205101007,SPOOL TYPE (25UCN)  METEK,0,3131.01,kg,C,Stamping,437
7/4/26 5:27 AM,1207100002,ALUMINUM SPOOL  ( ST ),524,525,kg,C,Stamping,873
7/4/26 5:27 AM,1000000004,Thinner AAA Grade,0,8,"Liter
",C,Stamping,3
7/4/26 5:27 AM,1000000003,Punching Oil (RF-520),0,19,Liter,C,Stamping,3
7/4/26 5:27 AM,1000000002,Cindol 4612T,0,133,Liter,C,Stamping,0
7/4/26 5:27 AM,1405100001,Actrel 1178 F,0,50,Liter,C,Stamping,178
7/5/26 4:36 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,C,Stamping,0
7/5/26 4:36 AM,1205101007,SPOOL TYPE (25UCN)  METEK,621.5,3318.51,kg,C,Stamping,434
7/5/26 4:36 AM,1207100002,ALUMINUM SPOOL  ( ST ),0,176,kg,C,Stamping,349
7/5/26 4:36 AM,1000000004,Thinner AAA Grade,0,7,"Liter
",C,Stamping,1
7/5/26 4:36 AM,1000000003,Punching Oil (RF-520),0,15,Liter,C,Stamping,4
7/5/26 4:36 AM,1000000002,Cindol 4612T,0,130,Liter,C,Stamping,3
7/5/26 4:36 AM,1405100001,Actrel 1178 F,0,50,Liter,C,Stamping,0
7/6/26 6:15 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,C,Stamping,0
7/6/26 6:15 AM,1205101007,SPOOL TYPE (25UCN)  METEK,1318.2,4204.91,kg,C,Stamping,431.8
7/6/26 6:15 AM,1207100002,ALUMINUM SPOOL  ( ST ),1042,524,kg,C,Stamping,694
7/6/26 6:15 AM,1000000004,Thinner AAA Grade,0,4,"Liter
",C,Stamping,3
7/6/26 6:15 AM,1000000003,Punching Oil (RF-520),0,15,Liter,C,Stamping,0
7/6/26 6:15 AM,1000000002,Cindol 4612T,0,128,Liter,C,Stamping,2
7/6/26 6:15 AM,1405100001,Actrel 1178 F,0,50,Liter,C,Stamping,0
7/7/26 2:45 AM,1205101006,SPOOL TYPE (25UCN)  NRK,0,19,kg,B,Stamping,0
7/7/26 2:45 AM,1205101007,SPOOL TYPE (25UCN)  METEK,358.4,4072.81,kg,B,Stamping,490.5
7/7/26 2:45 AM,1207100002,ALUMINUM SPOOL  ( ST ),858,526,kg,B,Stamping,856
7/7/26 2:45 AM,1000000004,Thinner AAA Grade,16,20,"Liter
",B,Stamping,0
7/7/26 2:45 AM,1000000003,Punching Oil (RF-520),0,15,Liter,B,Stamping,0
